iter	Passed	Remaining
0	2	211
1	4	196
2	5	168
3	6	157
4	8	155
5	9	144
6	11	147
7	12	147
8	14	146
9	16	145
10	17	145
11	19	145
12	20	138
13	22	137
14	23	133
15	25	132
16	26	131
17	28	129
18	29	127
19	30	123
20	31	118
21	32	115
22	33	112
23	34	109
24	35	106
25	36	103
26	37	100
27	38	98
28	39	97
29	40	95
30	42	94
31	43	92
32	44	90
33	46	89
34	47	88
35	48	86
36	49	84
37	50	82
38	51	79
39	52	78
40	52	76
41	53	73
42	54	71
43	54	69
44	55	67
45	56	66
46	56	64
47	57	62
48	58	60
49	59	59
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	63	50
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	69	41
63	71	39
64	72	39
65	73	37
66	74	36
67	75	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	79	28
74	80	26
75	81	25
76	82	24
77	82	23
78	83	22
79	84	21
80	85	19
81	85	18
82	86	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	96	4
96	96	2
97	97	1
98	98	0
99	99	0
